login,link,followers,following,follow_ratio,public_repos,contributions,stars,total_size,user_feedback,aura,most_popular_repo_forked
hkcreative,https://github.com/hkcreative,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
shanzo,https://github.com/shanzo,5.0,0.0,0.0,1.0,0.0,1.0,1224.0,0,420,False
abhisheksoni,https://github.com/abhisheksoni,6.0,5.0,1.2,6.0,0.0,0.0,97097.0,0,1,True
steveroam,https://github.com/steveroam,5.0,1.0,5.0,2.0,0.0,2.0,3329.0,0,-5236,True
jasonisrael,https://github.com/jasonisrael,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3500,
pbmakam,https://github.com/pbmakam,5.0,0.0,0.0,1.0,0.0,0.0,361.0,0,-8124,False
nithinshivashankar,https://github.com/nithinshivashankar,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
sanjayuttam,https://github.com/sanjayuttam,6.0,1.0,6.0,8.0,0.0,4.0,52387.0,0,223,False
catchthecows,https://github.com/catchthecows,14.0,0.0,0.0,8.0,0.0,229.0,92453.0,0,823,False
mugssy,https://github.com/mugssy,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4000,
ccloveaa,https://github.com/ccloveaa,4.0,5.0,0.8,37.0,0.0,8.0,654131.0,0,999,True
aheissenberger,https://github.com/aheissenberger,30.0,7.0,4.285714285714286,162.0,309.0,10.0,112769.0,0,500,True
ndreas,https://github.com/ndreas,14.0,4.0,3.5,27.0,1727.0,6.0,1421039.0,0,-739,False
humiaozuzu,https://github.com/humiaozuzu,698.0,76.0,9.18421052631579,28.0,2.0,15372.0,174174.0,0,39426,False
Lypheus,https://github.com/Lypheus,5.0,0.0,0.0,5.0,0.0,1.0,48372.0,0,-81922,False
donburks-zz,https://github.com/donburks-zz,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9000,
adotcheva,https://github.com/adotcheva,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
bunnykins,https://github.com/bunnykins,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4000,
madgoat100,https://github.com/madgoat100,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,
jonlidgard,https://github.com/jonlidgard,11.0,0.0,0.0,35.0,18.0,32.0,535915.0,0,25,False
1874asdf,https://github.com/1874asdf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7854,
Stevenchen,https://github.com/Stevenchen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2379,
sclausen-xx,https://github.com/sclausen-xx,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-23479,
raphail,https://github.com/raphail,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
winfar,https://github.com/winfar,1.0,3.0,0.3333333333333333,3.0,0.0,2.0,32968.0,0,-2357,True
race2fly,https://github.com/race2fly,2.0,0.0,0.0,12.0,0.0,0.0,389568.0,0,-384,True
einza,https://github.com/einza,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0,
blaxjax,https://github.com/blaxjax,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7334,
sepeth,https://github.com/sepeth,70.0,34.0,2.0588235294117645,49.0,129.0,52.0,441870.0,0,4000,False
ianloli,https://github.com/ianloli,5.0,0.0,0.0,1.0,0.0,1.0,3644.0,0,-500,True
Melnior,https://github.com/Melnior,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8346,
vtokarev,https://github.com/vtokarev,5.0,0.0,0.0,1.0,0.0,1.0,26596.0,0,-10,False
Turelyo,https://github.com/Turelyo,8.0,0.0,0.0,1.0,19.0,0.0,119.0,0,250,False
nbarnes,https://github.com/nbarnes,13.0,1.0,13.0,49.0,1.0,9.0,6179.0,0,786,False
craigts,https://github.com/craigts,11.0,1.0,11.0,11.0,820.0,0.0,18905.0,0,2500,False
zhifeng,https://github.com/zhifeng,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
vpulim,https://github.com/vpulim,95.0,4.0,23.75,66.0,6.0,4.0,282193.0,0,2525,True
fmaumus,https://github.com/fmaumus,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8275,
TheLizard,https://github.com/TheLizard,6.0,0.0,0.0,6.0,7.0,0.0,1277797.0,0,-1,True
scalala,https://github.com/scalala,20.0,1.0,20.0,1.0,0.0,299.0,27500.0,0,10000,False
jzplusplus,https://github.com/jzplusplus,24.0,6.0,4.0,31.0,208.0,94.0,178569.0,0,834,False
MikeWalsh,https://github.com/MikeWalsh,3.0,1.0,3.0,7.0,1362.0,0.0,7709.0,0,1923,True
bentz,https://github.com/bentz,4.0,0.0,0.0,6.0,0.0,4.0,998727.0,0,-526,False
martinpitt,https://github.com/martinpitt,178.0,0.0,0.0,34.0,5294.0,342.0,979548.0,0,1720,False
kfbishop,https://github.com/kfbishop,22.0,8.0,2.75,6.0,0.0,10.0,22233.0,0,183,False
stevewininger,https://github.com/stevewininger,3.0,0.0,0.0,2.0,0.0,2.0,23441.0,0,-1555,True
